('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         515312 function calls (496468 primitive calls) in 7.897 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      792    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      978    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      699    0.000    0.000    0.000    0.000 element.py:1489(get)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:397(freeze)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      167    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      725    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      953    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
     1342    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      233    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      306    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      358    0.000    0.000    0.001    0.000 os.py:674(__getitem__)
      197    0.000    0.000    0.000    0.000 __init__.py:77(find_spec)
     1324    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       80    0.000    0.000    0.002    0.000 parser.py:122(set_cdata_mode)
      160    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      192    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
      426    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      160    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
        3    0.000    0.000    0.015    0.005 utils.py:1(<module>)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
       97    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      305    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      156    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    7.697    7.697 financial.py:7(parse)
     1726    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      335    0.000    0.000    0.112    0.000 re.py:249(compile)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      161    0.000    0.000    0.000    0.000 socket.py:730(readable)
      368    0.000    0.000    0.001    0.000 _collections_abc.py:904(__iter__)
      596    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       39    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
     1591    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
