('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         515243 function calls (496398 primitive calls) in 1.613 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fae6767f1c0}
        1    0.000    0.000    0.029    0.029 connectionpool.py:1(<module>)
      167    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    1.417    1.417 financial.py:39(run)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       54    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      348    0.000    0.000    0.000    0.000 os.py:697(__iter__)
       22    0.000    0.000    0.000    0.000 response.py:740(_update_chunk_length)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
       11    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
        1    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
       26    0.000    0.000    0.511    0.020 {method 'readline' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 client.py:1238(putheader)
       97    0.000    0.000    0.001    0.000 typing.py:947(__init__)
      136    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       65    0.000    0.000    0.001    0.000 typing.py:1146(copy_with)
       22    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:741(parse_pseudo_open)
      150    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      174    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.061    0.061 css_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.863    0.863 connectionpool.py:361(_make_request)
        4    0.000    0.000    0.002    0.000 ssl_match_hostname.py:25(_dnsname_match)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       21    0.000    0.000    0.433    0.021 models.py:812(generate)
        1    0.000    0.000    1.300    1.300 sessions.py:671(send)
      313    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      214    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
       24    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
       60    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
       10    0.000    0.000    0.000    0.000 parse.py:372(urlparse)
        2    0.000    0.000    0.002    0.001 _collections.py:92(clear)
        1    0.000    0.000    0.000    0.000 timeout.py:165(from_float)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        2    0.000    0.000    0.004    0.002 models.py:1(<module>)
       18    0.000    0.000    0.000    0.000 _collections.py:215(add)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
      462    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 cookies.py:23(MockRequest)
       27    0.000    0.000    0.001    0.000 typing.py:1222(__getitem__)
       23    0.000    0.000    0.000    0.000 threading.py:359(notify)
        1    0.000    0.000    0.863    0.863 connectionpool.py:522(urlopen)
       21    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
      149    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       39    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        1    0.000    0.000    0.000    0.000 response.py:14(addbase)
        1    0.000    0.000    0.010    0.010 cookiejar.py:1(<module>)
       44    0.000    0.000    0.000    0.000 ipaddress.py:1881(__init__)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      222    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       21    0.000    0.000    0.433    0.021 response.py:606(stream)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2181(__init__)
        2    0.000    0.000    0.025    0.013 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:99(HTTPProxyAuth)
       10    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      271    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
