('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         686607 function calls (658497 primitive calls) in 2.108 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      161    0.002    0.000    0.620    0.004 http11.py:160(_receive_response_body)
      161    0.001    0.000    0.624    0.004 _models.py:850(iter_raw)
      161    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      161    0.000    0.000    0.622    0.004 _client.py:122(__iter__)
      161    0.000    0.000    0.621    0.004 default.py:102(__iter__)
      161    0.000    0.000    0.621    0.004 connection_pool.py:345(__iter__)
      161    0.000    0.000    0.620    0.004 http11.py:289(__iter__)
      160    0.018    0.000    0.018    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      160    0.001    0.000    0.644    0.004 _models.py:795(iter_bytes)
      160    0.001    0.000    0.018    0.000 _decoders.py:74(decode)
      160    0.001    0.000    0.006    0.000 typing.py:483(Union)
      160    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
      158    0.000    0.000    0.001    0.000 typing.py:1233(<genexpr>)
      157    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      156    1.276    0.008    1.276    0.008 {method 'read' of '_ssl._SSLSocket' objects}
      156    0.002    0.000    1.284    0.008 sync.py:22(read)
      156    0.001    0.000    1.277    0.008 ssl.py:1251(recv)
      156    0.001    0.000    1.276    0.008 ssl.py:1120(read)
      156    0.001    0.000    0.001    0.000 _receivebuffer.py:52(__iadd__)
      156    0.001    0.000    0.001    0.000 _connection.py:310(receive_data)
      156    0.000    0.000    0.001    0.000 _receivebuffer.py:56(__bool__)
      149    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      144    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:397(freeze)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
      136    0.000    0.000    0.004    0.000 typing.py:1137(__getitem__)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
      133    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      133    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
      128    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      126    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      125    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      120    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      119    0.000    0.000    0.000    0.000 __init__.py:82(<lambda>)
      119    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      114    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      101    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      100    0.000    0.000    0.000    0.000 _models.py:89(encoding)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
       96    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       94    0.000    0.000    0.000    0.000 ipaddress.py:577(__int__)
       93    0.000    0.000    0.001    0.000 enum.py:980(__or__)
       88    0.000    0.000    0.000    0.000 typing.py:1329(<genexpr>)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       87    0.000    0.000    0.000    0.000 re.py:269(escape)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       86    0.000    0.000    0.000    0.000 _models.py:23(enforce_bytes)
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       80    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
